Feature,Importance Score
worst area,0.14001598566310833
worst concave points,0.12952961280106504
worst radius,0.09769573685350633
mean concave points,0.0908847484687512
worst perimeter,0.07222637006988931
mean perimeter,0.0695738754013612
mean radius,0.06867599362483164
mean concavity,0.05763806222702219
mean area,0.04917214870032646
worst concavity,0.03434012642032042
